step,potential_energy,temperature
514000,-4419.600000000019,1.0
515000,-4500.80000000002,1.0
516000,-4512.4000000000215,1.0
517000,-4483.400000000021,1.0
518000,-4466.000000000019,1.0
519000,-4437.000000000018,1.0
520000,-4419.600000000019,1.0
521000,-4489.200000000021,1.0
522000,-4466.000000000018,1.0
523000,-4454.400000000021,1.0
524000,-4518.200000000022,1.0
525000,-4477.600000000019,1.0
526000,-4431.200000000018,1.0
527000,-4437.00000000002,1.0
528000,-4466.000000000022,1.0
529000,-4355.80000000002,1.0
530000,-4355.800000000021,1.0
531000,-4384.800000000022,1.0
532000,-4379.000000000023,1.0
533000,-4379.000000000023,1.0
534000,-4448.600000000021,1.0
535000,-4477.600000000026,1.0
536000,-4489.200000000024,1.0
537000,-4431.200000000022,1.0
538000,-4489.2000000000235,1.0
539000,-4489.200000000022,1.0
540000,-4454.400000000022,1.0
541000,-4454.400000000021,1.0
542000,-4442.800000000019,1.0
543000,-4570.400000000021,1.0
544000,-4460.200000000019,1.0
545000,-4535.600000000023,1.0
546000,-4477.6000000000195,1.0
547000,-4437.000000000019,1.0
548000,-4535.600000000023,1.0
549000,-4518.200000000022,1.0
550000,-4437.000000000021,1.0
551000,-4448.600000000022,1.0
552000,-4471.80000000002,1.0
553000,-4524.000000000025,1.0
554000,-4558.800000000024,1.0
555000,-4616.800000000027,1.0
556000,-4599.400000000024,1.0
557000,-4587.8000000000275,1.0
558000,-4605.200000000025,1.0
559000,-4640.0000000000255,1.0
560000,-4669.000000000023,1.0
561000,-4651.600000000022,1.0
562000,-4686.400000000025,1.0
563000,-4738.600000000025,1.0
564000,-4634.2000000000235,1.0
565000,-4651.600000000024,1.0
566000,-4587.800000000023,1.0
567000,-4535.600000000021,1.0
568000,-4582.000000000022,1.0
569000,-4587.800000000021,1.0
570000,-4547.200000000023,1.0
571000,-4483.400000000022,1.0
572000,-4645.800000000024,1.0
573000,-4616.800000000021,1.0
574000,-4547.2000000000235,1.0
575000,-4564.600000000022,1.0
576000,-4558.800000000023,1.0
577000,-4570.4000000000215,1.0
578000,-4674.800000000024,1.0
579000,-4628.400000000022,1.0
580000,-4599.400000000022,1.0
581000,-4587.800000000023,1.0
582000,-4535.600000000021,1.0
583000,-4605.200000000023,1.0
584000,-4553.000000000023,1.0
585000,-4506.6000000000195,1.0
586000,-4529.800000000021,1.0
587000,-4460.20000000002,1.0
588000,-4605.200000000023,1.0
589000,-4529.800000000022,1.0
590000,-4582.000000000021,1.0
591000,-4593.600000000021,1.0
592000,-4558.800000000024,1.0
